Song,Artist,isHot
Die With A Smile,Lady Gaga & Bruno Mars,True
A Bar Song (Tipsy),Shaboozey,True
Birds Of A Feather,Billie Eilish,True
Lose Control,Teddy Swims,True
APT.,ROSE & Bruno Mars,True
That's So True,Gracie Abrams,True
Luther,Kendrick Lamar & SZA,True
I Had Some Help,Post Malone Featuring Morgan Wallen,True
Espresso,Sabrina Carpenter,True
Taste,Sabrina Carpenter,True
TV Off,Kendrick Lamar Featuring Lefty Gunplay,True
Beautiful Things,Benson Boone,True
Love Somebody,Morgan Wallen,True
Too Sweet,Hozier,True
Timeless,The Weeknd & Playboi Carti,True
Squabble Up,Kendrick Lamar,True
"Good Luck, Babe!",Chappell Roan,True
Sticky,"Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne",True
Stargazing,Myles Smith,True
Not Like Us,Kendrick Lamar,True
Whatchu Kno About Me,GloRilla & Sexyy Red,True
30 For 30,SZA With Kendrick Lamar,True
High Road,Koe Wetzel & Jessie Murph,True
Who,Jimin,True
Messy,Lola Young,True
Please Please Please,Sabrina Carpenter,True
Smile,Morgan Wallen,True
I Am Not Okay,Jelly Roll,True
BMF,SZA,True
Million Dollar Baby,Tommy Richman,True
Wind Up Missin' You,Tucker Wetmore,True
Bed Chem,Sabrina Carpenter,True
Sailor Song,Gigi Perez,True
Lies Lies Lies,Morgan Wallen,True
Wildflower,Billie Eilish,True
Pink Pony Club,Chappell Roan,True
Like Him,"Tyler, The Creator Featuring Lola Young",True
I Never Lie,Zach Top,True
Liar,Jelly Roll,True
I'm Gonna Love You,Cody Johnson & Carrie Underwood,True
Scorsese Baby Daddy,SZA,True
Tu Boda,Oscar Maydon & Fuerza Regida,True
"I Love You, I'm Sorry",Gracie Abrams,True
It's Ok I'm Ok,Tate McRae,True
4x4xU,Lainey Wilson,True
No One Noticed,The Marias,True
Good News,Shaboozey,True
Indigo,Sam Barber Featuring Avery Anna,True
Defying Gravity,Cynthia Erivo Featuring Ariana Grande,True
Loco,Neton Vega,True
Drive,SZA,True
Que Pasaria...,Rauw Alejandro & Bad Bunny,True
Think I'm In Love With You,Chris Stapleton,True
Guy For That,Post Malone Featuring Luke Combs,True
Dancing In The Flames,The Weeknd,True
Hey Now,Kendrick Lamar Featuring Dody6,True
Help Me,Real Boston Richey,True
Residuals,Chris Brown,True
Am I Okay?,Megan Moroney,True
Diamond Boy (DTM),SZA,True
I Ain't Sayin',Jordan Davis,True
What Do I Do,SZA,True
Heart Of A Woman,Summer Walker,True
Another Life,SZA,True
Bad Dreams,Teddy Swims,True
No Pole,Don Toliver,True
Empty Out Your Pockets,Juice WRLD,True
Dos Dias,Tito Double P & Peso Pluma,True
Close To You,Gracie Abrams,True
Popular,Ariana Grande,True
Crybaby,SZA,True
Wacced Out Murals,Kendrick Lamar,True
Diet Pepsi,Addison Rae,True
Apple,Charli xcx,True
Boys Back Home,Dylan Marlowe & Dylan Scott,True
25,Rod Wave,True
Kitchen,SZA,True
Peekaboo,Kendrick Lamar Featuring AzChike,True
Burning Down,Alex Warren,True
Disease,Lady Gaga,True
Shake Dat Ass (Twerk Song),BossMan Dlow,True
Gang Baby,NLE Choppa,True
Khe?,Rauw Alejandro & Romeo Santos,True
Brokey,Latto,True
Rosones,Tito Double P,True
Juno,Sabrina Carpenter,True
Nadie,Tito Double P,True
What Is This Feeling?,Ariana Grande & Cynthia Erivo,True
El Club,Bad Bunny,True
Dodger Blue,"Kendrick Lamar Featuring Wallie the Sensei, Siete7x & Roddy Ricch",True
Pitorro de Coco,Bad Bunny,True
The Largest,BigXthaPlug,True
Wondering Why,The Red Clay Strays,True
Ends Of The Earth,Ty Myers,True
Chill Baby,SZA,True
Holy Smokes,Bailey Zimmerman,True
High Road,Zach Bryan,True
On One Tonight,Gunna,True
St. Chroma,"Tyler, The Creator Featuring Daniel Caesar",True
Cowboy Songs,George Birge,True
Je Sais Que La Terre Est Plate,Rapha\xc3\xabl,False
On Efface,Julie Zenatti,False
Howells Delight,The Baltimore Consort,False
